TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.math.geometry.Vector3D,BRANCH,1.0,77,77
org.apache.commons.math.util.MultidimensionalCounter,BRANCH,1.0,41,41
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,BRANCH,0.9701492537313433,134,130
org.apache.commons.jxpath.ri.compiler.CoreFunction,BRANCH,0.7802197802197802,364,284
org.apache.commons.jxpath.ri.axes.UnionContext,BRANCH,1.0,17,17
org.apache.commons.compress.archivers.ArchiveStreamFactory,BRANCH,0.803921568627451,51,41
org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer,BRANCH,0.921875,64,59
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,BRANCH,0.7058823529411765,323,229
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,BRANCH,0.534375,320,166
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.8968253968253969,126,113
org.apache.commons.math.optimization.fitting.GaussianFitter,BRANCH,0.9402985074626866,67,63
org.apache.commons.jxpath.ri.model.dom.DOMAttributeIterator,BRANCH,0.8909090909090909,55,49
org.apache.commons.jxpath.ri.model.jdom.JDOMAttributeIterator,BRANCH,0.15151515151515152,33,5
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,0.7722772277227723,101,78
org.apache.commons.math.util.FastMath,BRANCH,0.8797653958944281,682,600
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField,BRANCH,1.0,72,72
org.apache.commons.math.distribution.NormalDistributionImpl,BRANCH,1.0,25,25
org.apache.commons.jxpath.ri.axes.AttributeContext,BRANCH,1.0,23,23
org.apache.commons.math.distribution.PoissonDistributionImpl,BRANCH,1.0,20,20
org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizer,BRANCH,1.0,25,25
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,BRANCH,0.6977491961414791,311,217
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,BRANCH,0.546875,320,175
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,BRANCH,0.35833333333333334,120,43
